GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.bankingsystem.bankingsystem.services,CustomerServices,9,476,1,33,0,98,1,51,0,35
,com.bankingsystem.bankingsystem.services,EmployeeServices,19,118,3,9,4,29,5,13,2,10
,com.bankingsystem.bankingsystem.dto,KycProofRequest,0,17,0,0,0,5,0,5,0,5
,com.bankingsystem.bankingsystem.entity,FixedDepositStatus,0,21,0,0,0,4,0,1,0,1
,com.bankingsystem.bankingsystem.entity,Role,0,15,0,0,0,3,0,1,0,1
,com.bankingsystem.bankingsystem.entity,AccountType,0,15,0,0,0,3,0,1,0,1
,com.bankingsystem.bankingsystem.entity,CustomerStatus,8,48,0,0,4,19,2,10,2,10
,com.bankingsystem.bankingsystem.entity,TransactionStatus,0,15,0,0,0,3,0,1,0,1
,com.bankingsystem.bankingsystem.entity,RecurringDeposit,35,61,2,2,15,24,12,9,10,9
,com.bankingsystem.bankingsystem.entity,TransferStatus,0,15,0,0,0,3,0,1,0,1
,com.bankingsystem.bankingsystem.entity,TransactionType,0,21,0,0,0,4,0,1,0,1
,com.bankingsystem.bankingsystem.entity,User,66,13,4,0,26,6,14,3,12,3
,com.bankingsystem.bankingsystem.entity,AccountStatus,0,15,0,0,0,3,0,1,0,1
,com.bankingsystem.bankingsystem.entity,DepositStatus,0,21,0,0,0,4,0,1,0,1
,com.bankingsystem.bankingsystem.entity,Transfer,28,47,2,2,12,18,10,6,8,6
,com.bankingsystem.bankingsystem.entity,Transaction,28,47,2,2,12,18,10,6,8,6
,com.bankingsystem.bankingsystem.entity,Employee,0,63,1,1,0,27,1,14,0,14
,com.bankingsystem.bankingsystem.entity,KycStatus,0,21,0,0,0,4,0,1,0,1
,com.bankingsystem.bankingsystem.entity,Status,0,15,0,0,0,3,0,1,0,1
,com.bankingsystem.bankingsystem.entity,Customer,4,85,2,2,1,25,3,21,1,21
,com.bankingsystem.bankingsystem.entity,FixedDeposit,0,96,1,3,0,39,1,20,0,19
,com.bankingsystem.bankingsystem.entity,Account,0,97,3,3,0,37,3,16,0,16
,com.bankingsystem.bankingsystem.controllers,EmployeeController,0,50,0,0,0,17,0,8,0,8
,com.bankingsystem.bankingsystem.controllers,CustomerController,0,122,0,0,0,26,0,17,0,17
,com.bankingsystem.bankingsystem,BankingSystemApplication,5,3,0,0,2,1,1,1,1,1
,com.bankingsystem.bankingsystem.util,ResponseMessage,7,9,0,0,4,4,2,2,2,2
,com.bankingsystem.bankingsystem.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
,com.bankingsystem.bankingsystem.exceptions,UserNotFoundException,9,0,0,0,4,0,2,0,2,0
